issue_id,report_id,asset_id,field_name,page_start,page_end,issue_type,severity,evidence_class,description,status,resolution,detected_at,reviewed_at
iss_20260815_0020,rpt_c811a6f1f2c78270,,chart_values,1,12,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0021,rpt_c811a6f1f2c78270,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=mixed，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0022,rpt_9fa333483e94e169,,chart_values,1,10,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0023,rpt_9fa333483e94e169,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=mixed，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0024,rpt_5856700aced049fc,,chart_values,1,13,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0025,rpt_5856700aced049fc,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=section_specific，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0026,rpt_5856700aced049fc,,duplicate_status,1,13,partial_overlap_review,low,I,登记于overlap_huatai_futures_2026h2，仅表示局部内容/模板复用待核，不构成删除依据。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0027,rpt_feca128af69a3d3b,,chart_values,1,9,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0028,rpt_feca128af69a3d3b,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=mixed，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0029,rpt_feca128af69a3d3b,,duplicate_status,1,9,partial_overlap_review,low,I,登记于overlap_fund_duration_2026q3，仅表示局部内容/模板复用待核，不构成删除依据。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0030,rpt_bb2de5c3b82fc0e2,,chart_values,1,38,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0031,rpt_bb2de5c3b82fc0e2,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=mixed，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0032,rpt_bb2de5c3b82fc0e2,,publish_date|latest_explicit_data_date|co_brand,,,precision_and_brand_uncertain,high,U,精确发布日期、‘截止8.7’年份和联合品牌关系需要视觉/人工确认。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0033,rpt_dadd32fd61400f1a,,chart_values,1,23,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0034,rpt_dadd32fd61400f1a,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=mixed，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0035,rpt_dadd32fd61400f1a,,publish_date|filename_date|authors_display,,,metadata_conflict,high,U,封面日期与文件名日期冲突；PDF属性作者与明确署名冲突。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0036,rpt_e194db58c4f9f223,,chart_values,1,30,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0037,rpt_e194db58c4f9f223,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=mixed，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0038,rpt_e194db58c4f9f223,,authors_display|pdf_metadata,,,author_and_metadata_uncertain,high,U,未明确署名；研究员简介不得自动当作者，PDF属性为模板噪声。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0039,,asset_ef8d6cff391f5ab0,首页!B59,,,spreadsheet_error_value_no_formula,high,U,单元格存储值为#VALUE!，当前OOXML没有可恢复公式节点；需回到上游模板或生成链路人工复核。,open,,2026-08-15T22:01:22+08:00,
