underlying_contract,option_expiry_date,rule_code,source_name,source_url,quality_flag,human_review_required
CF309,2023-08-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF311,2023-10-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF401,2023-12-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF403,2024-02-06,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF405,2024-04-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF407,2024-06-12,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF409,2024-08-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF411,2024-10-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF501,2024-12-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF503,2025-02-12,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF505,2025-04-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF507,2025-06-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF509,2025-08-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF511,2025-10-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF601,2025-12-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF603,2026-02-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF605,2026-04-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF607,2026-06-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF609,2026-08-12,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and 2026 holiday schedule,https://www.czce.com.cn/cn/gyjys/jysdt/ggytz/webinfo/2025/12/528a2b72a3c949ae88ee93391e1d6c0f.htm,OFFICIAL_RULE_AND_2026_HOLIDAY_SCHEDULE,false
CF611,2026-10-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and 2026 holiday schedule,https://www.czce.com.cn/cn/gyjys/jysdt/ggytz/webinfo/2025/12/528a2b72a3c949ae88ee93391e1d6c0f.htm,OFFICIAL_RULE_AND_2026_HOLIDAY_SCHEDULE,false
CF701,2026-12-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and 2026 holiday schedule,https://www.czce.com.cn/cn/gyjys/jysdt/ggytz/webinfo/2025/12/528a2b72a3c949ae88ee93391e1d6c0f.htm,OFFICIAL_RULE_AND_2026_HOLIDAY_SCHEDULE,false
