report_id,page,page_class,text_char_count,chart_dependency,visual_review_required,review_status,notes
"rpt_bb2de5c3b82fc0e2","18","chart","251","high","no","text_reviewed_visual_not_required","四图为主，涉及自然利率、超额流动性和全球M2；模型口径未披露且相邻正文已覆盖所需定性结论。"
"rpt_bb2de5c3b82fc0e2","19","narrative_with_two_charts","538","low","no","text_reviewed_visual_not_required","正文完整给出按兵不动的通胀、能源和经济结构理由；期限溢价图中值未使用。"
"rpt_bb2de5c3b82fc0e2","20","narrative_with_two_charts","583","low","no","text_reviewed_visual_not_required","正文陈述私人固定投资分化和AI资本开支占比；统计口径待外部复算。"
"rpt_bb2de5c3b82fc0e2","21","chart","146","high","no","text_reviewed_visual_not_required","四图为主，展示制造与投资周期；不属于本卡不可替代证据，图中点位未提取。"
"rpt_bb2de5c3b82fc0e2","22","narrative_with_two_charts","500","low","no","text_reviewed_visual_not_required","正文给出就业数据分化和不构成加息条件的报告判断；分项观测日未声明。"
"rpt_bb2de5c3b82fc0e2","23","chart","195","high","no","text_reviewed_visual_not_required","四图为主，展示工资、行业就业、裁员与失业结构；相邻正文已给必要方向，点位不使用。"
"rpt_bb2de5c3b82fc0e2","24","narrative_with_two_charts","374","low","no","text_reviewed_visual_not_required","正文给出能源消费占比与增速贡献，并指出价格效应；口径和观测日未披露。"
"rpt_bb2de5c3b82fc0e2","25","narrative_with_two_charts","401","low","no","text_reviewed_visual_not_required","正文讨论收入约束与股市财富效应；图中财富和收入曲线点位未使用。"
"rpt_bb2de5c3b82fc0e2","26","divider","11","none","no","text_reviewed_non_research","章节分隔页：FICC大类资产观点。"
"rpt_bb2de5c3b82fc0e2","27","narrative_with_two_charts","360","low","no","text_reviewed_visual_not_required","AI权益基本面和资金面复盘；不属于CGB外部接口的必要证据，未纳入核心账本。"
"rpt_bb2de5c3b82fc0e2","28","chart","143","high","no","text_reviewed_visual_not_required","四图为主，涉及模型价格、份额和杠杆；与本卡目标无直接接口，视觉复刻跳过。"
"rpt_bb2de5c3b82fc0e2","29","chart","191","high","no","text_reviewed_visual_not_required","四图为主，涉及权益盈利、估值、宽度和离散度；不用于生成CGB结论。"
"rpt_bb2de5c3b82fc0e2","30","strategy_summary","52","high","no","text_reviewed_visual_not_required","权益配置策略总结页；文字层仅保留标题，因超出本卡目标而不做视觉识别。"
"rpt_bb2de5c3b82fc0e2","31","narrative_with_two_charts","378","low","no","text_reviewed_visual_not_required","正文拆分美元的利差、政策、风险偏好和持仓驱动；图中贡献值和z-score未提取。"
"rpt_bb2de5c3b82fc0e2","32","narrative_with_two_charts","527","low","no","text_reviewed_visual_not_required","正文给出美元区间与策略观点；点位仅作为当期叙事，不外推为长期阈值。"
"rpt_bb2de5c3b82fc0e2","33","narrative_with_two_charts","451","low","no","text_reviewed_visual_not_required","正文讨论政策框架真空期、期限溢价和美债波动；图中具体分化值未使用。"
"rpt_bb2de5c3b82fc0e2","34","narrative_with_two_charts","545","low","no","text_reviewed_visual_not_required","正文给出美债区间、曲线与触发条件；作为报告观点记录，不外推到中国国债。"
"rpt_bb2de5c3b82fc0e2","35","narrative_with_two_charts","362","low","no","text_reviewed_visual_not_required","正文提出人民币贸易账户定价和利差脱敏；需以滚动敏感度外部验证。"
"rpt_bb2de5c3b82fc0e2","36","chart","233","high","no","text_reviewed_visual_not_required","四图为主，涉及中国内外需、流动性与贸易账户；国内状态优先由国内数据库验证，图中数值不采用。"
"rpt_bb2de5c3b82fc0e2","37","disclaimer","1403","none","no","text_reviewed_non_research","分析师声明、免责声明与版权声明；完整读取，不作为研究证据。"
"rpt_bb2de5c3b82fc0e2","38","closing","48","none","no","text_reviewed_non_research","结束页，无研究内容。"
