evidence_id,report_id,field_name,field_value,evidence_class,source_type,page_start,page_end,evidence_data_cutoff,cutoff_scope,extraction_method,confidence,review_status,note
ev_20260815_0027,rpt_c5fb1a641cf93b7c,report_type,half_year_outlook,I,full_report_review,1,14,,section_specific,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0028,rpt_c5fb1a641cf93b7c,chart_density,high,I,full_report_review,1,14,,section_specific,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0029,rpt_ffa011069cee4a47,sha256,ffa011069cee4a472c5dff0c0471cb88e44cd7e1e42ae483fed777326d3246a8,X,filesystem,,,,none,sha256,high,pending,源与项目副本SHA-256一致。
ev_20260815_0030,rpt_ffa011069cee4a47,page_count,19,X,pdf_structure,1,19,,none,pypdf,high,pending,PDF物理页数。
ev_20260815_0031,rpt_ffa011069cee4a47,has_text_layer,true,X,pdf_text_layer,1,19,,none,pypdf_text_extract,high,pending,19/19页存在可提取文字。
ev_20260815_0032,rpt_ffa011069cee4a47,title,1.65%—1.95%：利率的窄走廊与新均衡,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0033,rpt_ffa011069cee4a47,institution,建信期货有限责任公司,E,pdf_text,19,19,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0034,rpt_ffa011069cee4a47,publish_date_text,2026 年 7 月 6 日,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0035,rpt_ffa011069cee4a47,publish_date,2026-07-06,E,pdf_text,1,1,,none,date_normalization,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0036,rpt_ffa011069cee4a47,filename_date,2026-07-06,X,filename,,,,none,filename_parse,high,pending,仅为文件名日期，不等同报告发布日期或数据截止日。
ev_20260815_0037,rpt_ffa011069cee4a47,co_brand,研究发展部,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0038,rpt_ffa011069cee4a47,authors_display,何卓乔（研究员（宏观贵金属））|黄雯昕（研究员（国债集运））|聂嘉怡（研究员（股指））,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0039,rpt_ffa011069cee4a47,latest_explicit_data_date,2026-06-26,E,pdf_text_or_chart_axis,5,5,2026-06-26,mixed,manual_text_and_layout_review,medium,pending,仅代表报告内最新可明确核证的局部日期。
ev_20260815_0040,rpt_ffa011069cee4a47,data_cutoff,,U,pdf_text_and_layout_review,,,,mixed,manual_review,high,pending,未发现全篇统一数据截止日；不得用发布日期或最新局部日期补齐。
ev_20260815_0041,rpt_ffa011069cee4a47,primary_topic,利率走廊与下半年国债展望,I,full_report_review,1,19,,mixed,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0042,rpt_ffa011069cee4a47,report_type,half_year_outlook,I,full_report_review,1,19,,mixed,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0043,rpt_ffa011069cee4a47,chart_density,high,I,full_report_review,1,19,,mixed,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0044,rpt_97d85a7c1574f339,sha256,97d85a7c1574f3397077083425af215cfe5ab9e95d4b1161309db7ffbb17eefe,X,filesystem,,,,none,sha256,high,pending,源与项目副本SHA-256一致。
ev_20260815_0045,rpt_97d85a7c1574f339,page_count,11,X,pdf_structure,1,11,,none,pypdf,high,pending,PDF物理页数。
ev_20260815_0046,rpt_97d85a7c1574f339,has_text_layer,true,X,pdf_text_layer,1,11,,none,pypdf_text_extract,high,pending,11/11页存在可提取文字。
ev_20260815_0047,rpt_97d85a7c1574f339,title,30年国债ETF为何越涨越赎,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0048,rpt_97d85a7c1574f339,institution,国泰海通证券股份有限公司,E,pdf_text,11,11,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0049,rpt_97d85a7c1574f339,publish_date_text,2026.07.26,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0050,rpt_97d85a7c1574f339,publish_date,2026-07-26,E,pdf_text,1,1,,none,date_normalization,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0051,rpt_97d85a7c1574f339,filename_date,2026-07-26,X,filename,,,,none,filename_parse,high,pending,仅为文件名日期，不等同报告发布日期或数据截止日。
ev_20260815_0052,rpt_97d85a7c1574f339,co_brand,研究所,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0053,rpt_97d85a7c1574f339,authors_display,唐元懋（分析师）|熊航飞（研究助理）,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0054,rpt_97d85a7c1574f339,latest_explicit_data_date,2026-07-24,E,pdf_text_or_chart_axis,4,6,2026-07-24,mixed,manual_text_and_layout_review,medium,pending,仅代表报告内最新可明确核证的局部日期。
ev_20260815_0055,rpt_97d85a7c1574f339,data_cutoff,,U,pdf_text_and_layout_review,,,,mixed,manual_review,high,pending,未发现全篇统一数据截止日；不得用发布日期或最新局部日期补齐。
ev_20260815_0056,rpt_97d85a7c1574f339,primary_topic,30年国债ETF申赎与机构行为,I,full_report_review,1,11,,mixed,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0057,rpt_97d85a7c1574f339,report_type,fund_data,I,full_report_review,1,11,,mixed,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0058,rpt_97d85a7c1574f339,chart_density,high,I,full_report_review,1,11,,mixed,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0059,rpt_b793155f619a8ad8,sha256,b793155f619a8ad86d9fb1f8eb5a9521d3c40c7dbb3f9cb8f342092d6d94b384,X,filesystem,,,,none,sha256,high,pending,源与项目副本SHA-256一致。
ev_20260815_0060,rpt_b793155f619a8ad8,page_count,9,X,pdf_structure,1,9,,none,pypdf,high,pending,PDF物理页数。
ev_20260815_0061,rpt_b793155f619a8ad8,has_text_layer,true,X,pdf_text_layer,1,9,,none,pypdf_text_extract,high,pending,9/9页存在可提取文字。
ev_20260815_0062,rpt_b793155f619a8ad8,title,如何识别国债期货盘中的“量化”博弈特征,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0063,rpt_b793155f619a8ad8,institution,国泰海通证券股份有限公司,E,pdf_text,9,9,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0064,rpt_b793155f619a8ad8,publish_date_text,2026.07.27,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0065,rpt_b793155f619a8ad8,publish_date,2026-07-27,E,pdf_text,1,1,,none,date_normalization,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0066,rpt_b793155f619a8ad8,filename_date,2026-07-27,X,filename,,,,none,filename_parse,high,pending,仅为文件名日期，不等同报告发布日期或数据截止日。
ev_20260815_0067,rpt_b793155f619a8ad8,co_brand,研究所,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0068,rpt_b793155f619a8ad8,authors_display,唐元懋（分析师）|孙越（分析师）,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0069,rpt_b793155f619a8ad8,latest_explicit_data_date,2026-07-24,E,pdf_text_or_chart_axis,6,7,2026-07-24,section_specific,manual_text_and_layout_review,medium,pending,仅代表报告内最新可明确核证的局部日期。
ev_20260815_0070,rpt_b793155f619a8ad8,data_cutoff,,U,pdf_text_and_layout_review,,,,section_specific,manual_review,high,pending,未发现全篇统一数据截止日；不得用发布日期或最新局部日期补齐。
ev_20260815_0071,rpt_b793155f619a8ad8,primary_topic,国债期货盘中交易结构识别,I,full_report_review,1,9,,section_specific,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0072,rpt_b793155f619a8ad8,report_type,futures_microstructure,I,full_report_review,1,9,,section_specific,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0073,rpt_b793155f619a8ad8,chart_density,high,I,full_report_review,1,9,,section_specific,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0074,rpt_737662a2d6e52aed,sha256,737662a2d6e52aed7d3fa01ad4e2879baa3e67a0747a02b74d17e5e520d32ca2,X,filesystem,,,,none,sha256,high,pending,源与项目副本SHA-256一致。
ev_20260815_0075,rpt_737662a2d6e52aed,page_count,8,X,pdf_structure,1,8,,none,pypdf,high,pending,PDF物理页数。
ev_20260815_0076,rpt_737662a2d6e52aed,has_text_layer,true,X,pdf_text_layer,1,8,,none,pypdf_text_extract,high,pending,8/8页存在可提取文字。
ev_20260815_0077,rpt_737662a2d6e52aed,title,7月FOMC：沃什说了什么，票委做了什么,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0078,rpt_737662a2d6e52aed,institution,国泰海通证券股份有限公司,E,pdf_text,8,8,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0079,rpt_737662a2d6e52aed,publish_date_text,2026.07.30,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0080,rpt_737662a2d6e52aed,publish_date,2026-07-30,E,pdf_text,1,1,,none,date_normalization,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0081,rpt_737662a2d6e52aed,filename_date,2026-07-30,X,filename,,,,none,filename_parse,high,pending,仅为文件名日期，不等同报告发布日期或数据截止日。
ev_20260815_0082,rpt_737662a2d6e52aed,co_brand,研究所,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0083,rpt_737662a2d6e52aed,authors_display,王一凡（分析师）|唐元懋（分析师）,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0084,rpt_737662a2d6e52aed,latest_explicit_data_date,,U,pdf_text,,,,none,manual_text_review,medium,pending,未找到可安全标准化的最新全局日期。
ev_20260815_0085,rpt_737662a2d6e52aed,data_cutoff,,U,pdf_text_and_layout_review,,,,none,manual_review,high,pending,未发现全篇统一数据截止日；不得用发布日期或最新局部日期补齐。
ev_20260815_0086,rpt_737662a2d6e52aed,primary_topic,7月FOMC事件与美债定价,I,full_report_review,1,8,,none,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0087,rpt_737662a2d6e52aed,report_type,event_commentary,I,full_report_review,1,8,,none,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0088,rpt_737662a2d6e52aed,chart_density,medium,I,full_report_review,1,8,,none,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0089,rpt_cfe3ee74ed151370,sha256,cfe3ee74ed15137041f3e4040e9de7b670365bb06b98de6a2127785a66cc9fac,X,filesystem,,,,none,sha256,high,pending,源与项目副本SHA-256一致。
ev_20260815_0090,rpt_cfe3ee74ed151370,page_count,10,X,pdf_structure,1,10,,none,pypdf,high,pending,PDF物理页数。
ev_20260815_0091,rpt_cfe3ee74ed151370,has_text_layer,true,X,pdf_text_layer,1,10,,none,pypdf_text_extract,high,pending,10/10页存在可提取文字。
ev_20260815_0092,rpt_cfe3ee74ed151370,title,透视股债跷跷板：细分资产相关性的K型分化,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0093,rpt_cfe3ee74ed151370,institution,国泰海通证券股份有限公司,E,pdf_text,10,10,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0094,rpt_cfe3ee74ed151370,publish_date_text,2026.08.02,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0095,rpt_cfe3ee74ed151370,publish_date,2026-08-02,E,pdf_text,1,1,,none,date_normalization,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0096,rpt_cfe3ee74ed151370,filename_date,2026-08-02,X,filename,,,,none,filename_parse,high,pending,仅为文件名日期，不等同报告发布日期或数据截止日。
ev_20260815_0097,rpt_cfe3ee74ed151370,co_brand,研究所,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0098,rpt_cfe3ee74ed151370,authors_display,唐元懋（分析师）|杜润琛（分析师）,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0099,rpt_cfe3ee74ed151370,latest_explicit_data_date,2026-07-31,E,pdf_text_or_chart_axis,6,6,2026-07-31,mixed,manual_text_and_layout_review,medium,pending,仅代表报告内最新可明确核证的局部日期。
ev_20260815_0100,rpt_cfe3ee74ed151370,data_cutoff,,U,pdf_text_and_layout_review,,,,mixed,manual_review,high,pending,未发现全篇统一数据截止日；不得用发布日期或最新局部日期补齐。
ev_20260815_0101,rpt_cfe3ee74ed151370,primary_topic,股债相关性与细分资产分化,I,full_report_review,1,10,,mixed,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0102,rpt_cfe3ee74ed151370,report_type,cross_asset_macro,I,full_report_review,1,10,,mixed,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0103,rpt_cfe3ee74ed151370,chart_density,high,I,full_report_review,1,10,,mixed,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0104,rpt_05386acea6130991,sha256,05386acea6130991db6e0f662dbfcc67a1f00ed6fd6650eb2d594201f0d843b2,X,filesystem,,,,none,sha256,high,pending,源与项目副本SHA-256一致。
ev_20260815_0105,rpt_05386acea6130991,page_count,9,X,pdf_structure,1,9,,none,pypdf,high,pending,PDF物理页数。
ev_20260815_0106,rpt_05386acea6130991,has_text_layer,true,X,pdf_text_layer,1,9,,none,pypdf_text_extract,high,pending,9/9页存在可提取文字。
ev_20260815_0107,rpt_05386acea6130991,title,30年国债走强行情，会起波动吗：机构行为关注三个关键信号,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0108,rpt_05386acea6130991,institution,国泰海通证券股份有限公司,E,pdf_text,9,9,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0109,rpt_05386acea6130991,publish_date_text,2026.08.04,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0110,rpt_05386acea6130991,publish_date,2026-08-04,E,pdf_text,1,1,,none,date_normalization,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0111,rpt_05386acea6130991,filename_date,2026-08-04,X,filename,,,,none,filename_parse,high,pending,仅为文件名日期，不等同报告发布日期或数据截止日。
ev_20260815_0112,rpt_05386acea6130991,co_brand,研究所,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0113,rpt_05386acea6130991,authors_display,唐元懋（分析师）|汤志宇（分析师）,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0114,rpt_05386acea6130991,latest_explicit_data_date,2026-07-31,E,pdf_text_or_chart_axis,3,4,2026-07-31,section_specific,manual_text_and_layout_review,medium,pending,仅代表报告内最新可明确核证的局部日期。
ev_20260815_0115,rpt_05386acea6130991,data_cutoff,,U,pdf_text_and_layout_review,,,,section_specific,manual_review,high,pending,未发现全篇统一数据截止日；不得用发布日期或最新局部日期补齐。
ev_20260815_0116,rpt_05386acea6130991,primary_topic,30年国债机构行为信号,I,full_report_review,1,9,,section_specific,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0117,rpt_05386acea6130991,report_type,institution_behavior,I,full_report_review,1,9,,section_specific,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0118,rpt_05386acea6130991,chart_density,high,I,full_report_review,1,9,,section_specific,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0119,rpt_c811a6f1f2c78270,sha256,c811a6f1f2c782709d9963acb6275d47a78a693dc3e6501145d04734df41365a,X,filesystem,,,,none,sha256,high,pending,源与项目副本SHA-256一致。
ev_20260815_0120,rpt_c811a6f1f2c78270,page_count,12,X,pdf_structure,1,12,,none,pypdf,high,pending,PDF物理页数。
ev_20260815_0121,rpt_c811a6f1f2c78270,has_text_layer,true,X,pdf_text_layer,1,12,,none,pypdf_text_extract,high,pending,12/12页存在可提取文字。
ev_20260815_0122,rpt_c811a6f1f2c78270,title,30年活跃券如何切换：历史规律与26特6的“不稳定接棒”,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0123,rpt_c811a6f1f2c78270,institution,国泰海通证券股份有限公司,E,pdf_text,12,12,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0124,rpt_c811a6f1f2c78270,publish_date_text,2026.08.09,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0125,rpt_c811a6f1f2c78270,publish_date,2026-08-09,E,pdf_text,1,1,,none,date_normalization,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0126,rpt_c811a6f1f2c78270,filename_date,2026-08-09,X,filename,,,,none,filename_parse,high,pending,仅为文件名日期，不等同报告发布日期或数据截止日。
ev_20260815_0127,rpt_c811a6f1f2c78270,co_brand,研究所,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0128,rpt_c811a6f1f2c78270,authors_display,唐元懋（分析师）|孙越（分析师）,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0129,rpt_c811a6f1f2c78270,latest_explicit_data_date,2026-08-07,E,pdf_text_or_chart_axis,8,8,2026-08-07,mixed,manual_text_and_layout_review,medium,pending,仅代表报告内最新可明确核证的局部日期。
ev_20260815_0130,rpt_c811a6f1f2c78270,data_cutoff,,U,pdf_text_and_layout_review,,,,mixed,manual_review,high,pending,未发现全篇统一数据截止日；不得用发布日期或最新局部日期补齐。
ev_20260815_0131,rpt_c811a6f1f2c78270,primary_topic,30年国债活跃券切换与流动性,I,full_report_review,1,12,,mixed,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0132,rpt_c811a6f1f2c78270,report_type,futures_microstructure,I,full_report_review,1,12,,mixed,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0133,rpt_c811a6f1f2c78270,chart_density,high,I,full_report_review,1,12,,mixed,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0134,rpt_9fa333483e94e169,sha256,9fa333483e94e1694987ac258fb5c052f4fe06d022059392dcf1a37aeecb5095,X,filesystem,,,,none,sha256,high,pending,源与项目副本SHA-256一致。
ev_20260815_0135,rpt_9fa333483e94e169,page_count,10,X,pdf_structure,1,10,,none,pypdf,high,pending,PDF物理页数。
ev_20260815_0136,rpt_9fa333483e94e169,has_text_layer,true,X,pdf_text_layer,1,10,,none,pypdf_text_extract,high,pending,10/10页存在可提取文字。
ev_20260815_0137,rpt_9fa333483e94e169,title,港交所国债期货上市首周：定价中枢与跨境联动,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0138,rpt_9fa333483e94e169,institution,国泰海通证券股份有限公司,E,pdf_text,10,10,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0139,rpt_9fa333483e94e169,publish_date_text,2026.08.09,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0140,rpt_9fa333483e94e169,publish_date,2026-08-09,E,pdf_text,1,1,,none,date_normalization,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0141,rpt_9fa333483e94e169,filename_date,2026-08-09,X,filename,,,,none,filename_parse,high,pending,仅为文件名日期，不等同报告发布日期或数据截止日。
ev_20260815_0142,rpt_9fa333483e94e169,co_brand,研究所,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0143,rpt_9fa333483e94e169,authors_display,唐元懋（分析师）|孙越（分析师）,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0144,rpt_9fa333483e94e169,latest_explicit_data_date,2026-08-07,E,pdf_text_or_chart_axis,8,8,2026-08-07,mixed,manual_text_and_layout_review,medium,pending,仅代表报告内最新可明确核证的局部日期。
