"indicator_id","indicator_name","category","definition","unit","frequency","source_id","source_field","calculation_rule","availability_lag","market_object","evidence_class","status","notes"
"cgb_ga_futures_open_interest","国债期货逐合约持仓量","futures_microstructure","TS、TF、T、TL实际合约日末持仓量","contracts","daily","","","raw；产品合计与全市场合计由逐合约求和","","cgb_futures","[E]","proposed_gate_a","P0；[E] rpt_c5fb1a641cf93b7c，PDF物理页4，证据数据截止日2026-06-30；报告给出四品种持仓及T占比；无账户分类时不得识别套保/投机"
"cgb_ga_futures_volume","国债期货逐合约成交量","futures_microstructure","TS、TF、T、TL实际合约成交量","contracts","daily","","","raw；产品合计与全市场合计由逐合约求和","","cgb_futures","[E]","proposed_gate_a","P0；[E] rpt_c5fb1a641cf93b7c，PDF物理页4，证据数据截止日2026-06-30；成交量与持仓量必须分字段保存"
"cgb_ga_turnover_oi_ratio","国债期货成交持仓比","futures_microstructure","指定产品或全市场成交量与期末持仓量之比","ratio","daily/weekly","","cgb_ga_futures_volume;cgb_ga_futures_open_interest","volume/open_interest；open_interest=0时为空","","cgb_futures","[I]","proposed_gate_a","P1；[E] rpt_c5fb1a641cf93b7c，PDF物理页4，证据数据截止日2026-06-30给出比值0.39；[I] 该比率只能描述换手，不能单独识别持仓账户性质"
"cgb_ga_t_oi_share","T持仓占四品种比重","futures_microstructure","T产品持仓量占TS、TF、T、TL合计持仓量的比重","%","daily/weekly","","cgb_ga_futures_open_interest","100*OI_T/(OI_TS+OI_TF+OI_T+OI_TL)","","cgb_futures","[I]","proposed_gate_a","P1；[E] rpt_c5fb1a641cf93b7c，PDF物理页4，证据数据截止日2026-06-30给出43.8%；[I] 后续仅作集中度监测"
"cgb_ga_cross_product_futures_spread","国债期货跨品种价差","curve_valuation","同到期月TS/TF/T/TL之间按冻结权重构造的相对价格，公式版本逐组合记录","price_spread","daily","","","weight_a*settlement_a-weight_b*settlement_b；权重/DV01/到期月未冻结前不计算","","cgb_futures_relative_value","[U]","proposed_gate_a","P1；[E] rpt_c406ce66269f6c16，PDF物理页5、8-9，证据数据截止日[U]未声明；[U] 报告使用多种乘数但正式公式、DV01和连续/实际合约规则须人工确认"
"cgb_ga_calendar_spread","国债期货跨期价差","futures_microstructure","同一产品近月与远月实际合约结算价之差","price_spread","daily","","cgb_ga_futures_settlement","near_contract_settlement-far_contract_settlement；近远月代码显式存储","","cgb_futures_calendar","[I]","proposed_gate_a","P1；[E] rpt_c406ce66269f6c16，PDF物理页5、11-12，证据数据截止日[U]未声明；[I] 本表固定近月减远月，报告口径复核前不得混用"
"cgb_ga_deliverable_conversion_factor","可交割券与转换因子映射","futures_microstructure","按产品、实际合约、债券和有效期记录中金所公布的可交割券及转换因子","bond_code;factor","event/daily","","","官方快照长表；主键product+contract_code+bond_code+valid_from","","cgb_futures_delivery","[X]","proposed_gate_a","P0；[X] 三份报告未提供可审计转换因子明细，但基差、净基差、IRR、Carry和CTD均依赖；需中金所官方快照及SHA-256；不得把转换因子本身当作CTD结论"
"cgb_ga_gross_basis","国债期货毛基差","futures_microstructure","指定可交割券全价与期货结算价乘转换因子的差额，统一每百元面值","CNY_per_100","daily","","cgb_ga_futures_settlement;cgb_ga_deliverable_conversion_factor","cash_full_price_per_100-futures_settlement*conversion_factor；全价/净价约定必须冻结","","cgb_futures_basis","[X]","proposed_gate_a","P0；[X] 为净基差和交割分析的外部计算接口；[U] 报告未给全价、应计利息或basis convention，生产前需逐券复算"
"cgb_ga_carry_to_delivery","可交割券持有至交割Carry","futures_microstructure","买入可交割券持有至交割的票息/应计收益减融资成本，统一每百元面值","CNY_per_100","daily","","","coupon_and_accrual_to_delivery-financing_cost_to_delivery；现金流、日计数、税费规则版本化","","cgb_futures_delivery","[X]","proposed_gate_a","P0；[X] 报告外必需接口；[U] 精确现金流、回购利率、日计数、税费与交割日规则待核验"
"cgb_ga_net_basis","国债期货净基差","futures_microstructure","指定可交割券毛基差扣除持有至交割Carry后的相对定价指标","CNY_per_100","daily","","cgb_ga_gross_basis;cgb_ga_carry_to_delivery","gross_basis-carry_to_delivery；仅在统一口径下计算","","cgb_futures_basis","[I]","proposed_gate_a","P0；[E] rpt_c406ce66269f6c16，PDF物理页9-10，证据数据截止日[U]未声明；[I] 公式实现须用CTD/融资数据复算，报告的相对高位不作为固定阈值"
"cgb_ga_irr","可交割券隐含回购利率IRR","futures_microstructure","买券并卖出期货持有至交割的年化隐含融资收益率","%_annualized","daily","","","逐券现金流年化求解；日计数、应计利息、票息、交割价与税费规则版本化","","cgb_futures_delivery","[E]","proposed_gate_a","P0；[E] rpt_c5fb1a641cf93b7c，PDF物理页11，证据数据截止日[U]未声明；报告仅称相对低位，未给阈值或CTD明细；[X] 需官方合约/可交割券数据"
"cgb_ga_irr_funding_spread","IRR-融资成本利差","futures_microstructure","逐可交割券隐含回购利率相对匹配期限融资成本的利差","bp","daily","","cgb_ga_irr","(IRR_pct-funding_rate_pct)*100；融资利率类型和期限需冻结","","cgb_futures_delivery","[I]","proposed_gate_a","P0；[I] 用于检验IRR是否真正提供融资优势；依据[E] rpt_c5fb1a641cf93b7c，PDF物理页11，截止日[U]未声明；[U] 融资锚尚未确定"
"cgb_ga_ctd_bond","CTD券识别","futures_microstructure","在每个产品和实际合约的完整可交割券集合内识别最便宜可交割券，并保留筛选经济性及并列状态","bond_code","daily","","cgb_ga_deliverable_conversion_factor;cgb_ga_net_basis;cgb_ga_irr;cgb_ga_irr_funding_spread","按冻结的交割经济性规则逐券比较；规则、价格时点、融资口径和并列处理均需版本化","","cgb_futures_delivery","[X]","proposed_gate_a","P0；[X] CTD是逐券价格与现金流计算结果，必须与转换因子字段分离；当前中金所快照只提供可交割集合和转换因子，不直接给出CTD"
"cgb_ga_top20_fund_duration","绩优前20%中长债基金平均久期","institution_behavior","按冻结业绩窗口选出的前20%基金的组合久期平均值","years","weekly","","","raw或模型估算；基金池、业绩窗口、权重、再平衡和久期模型必须版本化","","bond_fund_duration","[U]","proposed_gate_a","P0；[E] rpt_feca128af69a3d3b，PDF物理页5，证据数据截止日[U]未声明；报告给出5.92年并称约领先两周；[U] 定义、公式、样本与频率未披露"
"cgb_ga_all_fund_duration","中长债基金整体平均久期","institution_behavior","冻结基金池内中长债基金的组合久期平均值","years","weekly","","","raw或模型估算；基金池、权重和久期模型必须版本化","","bond_fund_duration","[U]","proposed_gate_a","P0；[E] rpt_feca128af69a3d3b，PDF物理页5，证据数据截止日[U]未声明；报告给出3.91年；[U] 定义、公式与频率未披露"
"cgb_ga_duration_gap","绩优基金久期-整体久期差","institution_behavior","绩优前20%基金平均久期减整体中长债基平均久期","years","weekly","","cgb_ga_top20_fund_duration;cgb_ga_all_fund_duration","top20_duration-all_fund_duration","","bond_fund_duration","[I]","proposed_gate_a","P0；[I] 报告当期数值可算得2.01年，但因截止日和口径[U]不作为正式基准；依据[E] rpt_feca128af69a3d3b，PDF物理页5，截止日[U]未声明"
"cgb_ga_duration_change","基金久期1周/2周变化","institution_behavior","绩优或整体基金久期相对1周、2周前的变化，保留fund_group和window","years","weekly","","cgb_ga_top20_fund_duration;cgb_ga_all_fund_duration","duration_t-duration_t_minus_n_weeks；n=1|2，统一week_end","","bond_fund_duration","[I]","proposed_gate_a","P0；[I] 将[E] rpt_feca128af69a3d3b，PDF物理页5，证据数据截止日[U]未声明的约两周领先命题转为可回测序列；急降阈值不得主观设定"
"cgb_ga_duration_cross_event","绩优久期下穿整体久期事件","institution_behavior","绩优久期差由正转为零或负的周度事件","0_1","weekly","","cgb_ga_duration_gap","1 if gap_t<=0 and gap_t_minus_1>0 else 0；缺失值不触发","","bond_fund_duration","[I]","proposed_gate_a","P0；[E] rpt_feca128af69a3d3b，PDF物理页5，证据数据截止日[U]未声明；[I] 仅作待验证事件，不自动形成方向信号"
"cgb_ga_fund_net_trade_by_tenor","基金分期限国债净买卖","institution_behavior","基金对10Y和30Y国债的周度净买入/净卖出，保留tenor_bucket和机构口径","CNY_100mn","weekly","","","raw；正负号、基金范围、现券映射和week_end须冻结","","cash_bond_flow","[U]","proposed_gate_a","P0；[E] rpt_feca128af69a3d3b，PDF物理页4，证据数据截止日2025-11（月度精度历史案例）；[U] 图表口径、基金范围和分期限映射未披露"
"cgb_ga_issuance_progress_deviation","政府债发行进度偏差","supply_demand","实际累计发行进度相对冻结计划进度的偏差，保留国债/地方债和期限维度","pct_point","weekly","","cgb_ga_gov_bond_net_financing","actual_cumulative_progress-planned_cumulative_progress；计划版本必须冻结","","cash_bond_supply","[I]","proposed_gate_a","P1；[I] 用于验证[E] rpt_c5fb1a641cf93b7c，PDF物理页8，证据数据截止日[U]未声明的供给后移叙事；[X] 发行计划及修订历史待接入"
"cgb_ga_liquidity_supply_offset_gap","供给-央行流动性抵补缺口","liquidity","政府债净融资与央行净流动性投放之间的研究代理差额，不代表一一对应因果","CNY_100mn","weekly","","cgb_ga_gov_bond_net_financing;cgb_ga_pbc_net_liquidity_injection","gov_bond_net_financing-pbc_net_liquidity_injection","","funding_and_supply","[I]","proposed_gate_a","P1；[I] 依据[E] rpt_c5fb1a641cf93b7c，PDF物理页8，截止日[U]未声明构造；只作诊断代理，不能解释全部银行体系流动性"
"cgb_ga_social_financing_stock_yoy","社会融资规模存量同比","macro_fundamentals","社会融资规模存量的同比增速","%","monthly","","","raw；精确统计口径和发布时间字段待映射","","macro_credit","[E]","proposed_gate_a","P1；[E] rpt_c406ce66269f6c16，PDF物理页8，证据数据截止日[U]未声明（历史样本截止日未披露）；报告用信用周期讨论期限利差；[X] 官方/iFinD字段待映射"
"cgb_ga_household_mortgage_credit","居民中长期贷款变化","macro_fundamentals","居民中长期贷款的新增量、同比或滚动变化，最终口径须单选并版本化","CNY_100mn_or_pct","monthly","","","[U] 候选口径：新增量或同比；未冻结前不计算复合信号","","macro_credit","[U]","proposed_gate_a","P1；[E] rpt_c406ce66269f6c16，PDF物理页8，证据数据截止日[U]未声明将居民融资列入信用证伪；[U] 指标口径与阈值未明确"
"cgb_ga_industrial_production_yoy","工业增加值同比","macro_fundamentals","规模以上工业增加值同比增速","%","monthly","","","raw；发布时间与数据期分字段保存","","macro_cycle","[E]","proposed_gate_a","P1；[E] rpt_c5fb1a641cf93b7c，PDF物理页10，证据数据截止日[U]未声明；用于检验周期同步性是否弱化，相关性不等于因果"
"cgb_ga_duration_dispersion","债基久期分歧度","institution_behavior","冻结基金池内久期的横截面离散程度","years_or_zscore","weekly","","","优先标准差；加权方式、基金池和极值/拐点规则版本化","","bond_fund_duration","[U]","proposed_gate_a","P1；[E] rpt_feca128af69a3d3b，PDF物理页4，证据数据截止日2025-06（月度精度历史案例）称先后关系不稳定；[U] 报告未披露公式、样本和阈值"
"cgb_ga_30y10y_spread_percentile","30Y-10Y利差滚动历史分位","curve_valuation","固定估值源下30Y减10Y收益率在冻结历史窗口中的经验分位","%ile","daily/weekly","","cgb_ga_term_spread","percent_rank(spread_30y10y within versioned window)","","cash_bond_curve","[I]","proposed_gate_a","P1；[E] rpt_feca128af69a3d3b，PDF物理页3，证据数据截止日[U]未声明给出2025年以来71.5%分位；[I] 历史窗口必须版本化，71.5%不得固化为阈值"
"cgb_ga_etf_net_subscription","债券ETF净申赎","institution_behavior","按利率债、信用债、可转债ETF分组的份额或资金净申赎","shares_or_CNY","weekly","","","raw；ETF池、价格折算和week_end规则版本化","","bond_etf_flow","[U]","proposed_gate_a","P2；[E] rpt_feca128af69a3d3b，PDF物理页5，证据数据截止日[U] 8月8日且年份未在表题声明；不得外推全部债基"
"cgb_ga_m2_m1_lead12","M2-M1及前置12月版本","macro_fundamentals","M2同比减M1同比，并保留未经前置与前置12月两种版本","pct_point","monthly","","","m2_yoy-m1_yoy；lead12仅用于回测展示，禁止在实时信号中使用未来值","","macro_cycle","[U]","proposed_gate_a","P2；[E] rpt_c5fb1a641cf93b7c，PDF物理页11，证据数据截止日[U]未声明；[U] 报告图表前置和移动规则未完整披露，需防止前视偏差"
"cgb_ga_cpi_ppi_spread","CPI-PPI剪刀差","macro_fundamentals","CPI同比减PPI同比","pct_point","monthly","","","cpi_yoy-ppi_yoy","","macro_inflation","[U]","proposed_gate_a","P2；[E] rpt_c5fb1a641cf93b7c，PDF物理页11，证据数据截止日[U]未声明；报告使用价格周期指标但移动均值与比较规则未完整披露"
"cgb_ga_global_pmi_heat","全球PMI热力值","macro_fundamentals","多个经济体PMI经标准化后形成的全球周期热度指标","zscore","monthly","","","[U] 经济体集合、权重、标准化窗口与缺失值规则待定义","","global_macro","[U]","proposed_gate_a","P2；[E] rpt_c5fb1a641cf93b7c，PDF物理页10-11，证据数据截止日[U]未声明；报告称使用z-score但未披露完整公式"
"cgb_ga_financial_leverage_gap","金融部门资产-负债杠杆差","macro_fundamentals","金融部门资产与负债杠杆指标之间的差额或相对变化，精确定义待恢复","[U]","monthly/quarterly","","","[U] 资产、负债、分母、季调和差值公式均待定义","","financial_structure","[U]","proposed_gate_a","P2；[E] rpt_c5fb1a641cf93b7c，PDF物理页7-9，证据数据截止日[U]未声明；仅保留候选，不进入生产或方向判断"
